# Crosswalk: CPV -> radar use case (LK-02, DR-12).
# The horizontal CPV codes (72 IT, 48 software, 64 telecom, 32 comms equipment)
# carry no vertical signal but they do carry a strong USE-CASE signal, which is
# what makes a tender a buying signal for a specific opportunity space rather
# than generic IT spend.
#
# Matching is by CPV prefix, longest prefix wins. Many-to-many: one CPV may
# indicate several use cases, each with its own confidence.
version,cpv_prefix,use_case,confidence,owner,note
2026-08-a,72212730,identity_access_management,0.90,taxonomy-curator,Security software development services
2026-08-a,7251,it_operations_automation,0.70,taxonomy-curator,Computer-related management services
2026-08-a,72514,it_operations_automation,0.80,taxonomy-curator,Computer facilities management services
2026-08-a,72222300,data_sovereignty_protection,0.60,taxonomy-curator,Information technology services - hosting
2026-08-a,72222300,sovereign_ai_enclave,0.35,taxonomy-curator,Hosting - AI enclave subset
2026-08-a,72322,data_platform_modernization,0.85,taxonomy-curator,Data management services
2026-08-a,72316,demand_forecasting,0.45,taxonomy-curator,Data analysis services
2026-08-a,72316,customer_journey_analytics,0.30,taxonomy-curator,Data analysis services
2026-08-a,72316,yield_optimization,0.25,taxonomy-curator,Data analysis services
2026-08-a,72312,document_intelligence,0.70,taxonomy-curator,Data entry services
2026-08-a,7222,legacy_application_migration,0.65,taxonomy-curator,Systems and technical consultancy
2026-08-a,72220,legacy_application_migration,0.75,taxonomy-curator,Systems and technical consultancy services
2026-08-a,72315,network_automation,0.75,taxonomy-curator,Data network management and support services
2026-08-a,72315200,network_as_sensor_analytics,0.55,taxonomy-curator,Data network management
2026-08-a,72400,site_connectivity_resilience,0.70,taxonomy-curator,Internet services
2026-08-a,72413,customer_self_service,0.60,taxonomy-curator,World wide web site design services
2026-08-a,72512,citizen_service_automation,0.55,taxonomy-curator,Document management services
2026-08-a,72500,threat_detection_response,0.40,taxonomy-curator,Computer-related services - security subset
2026-08-a,7226,it_operations_automation,0.55,taxonomy-curator,Software-related services
2026-08-a,79710,threat_detection_response,0.85,taxonomy-curator,Security services
2026-08-a,79711,critical_infrastructure_monitoring,0.70,taxonomy-curator,Alarm-monitoring services
